doc_id,paper_key,title,doi,year,venue,citation_missing,citation_count,log1p_citations,title_word_count,edge_author_ids,profile_owner_ids,lab_link_ids,lab_author_names,lab_author_roles,topic_count,profile_link_count,lab_link_count,topics,title_bin,text_surprise_score,representation_contrast_proxy,role_aware_reward,reward_quadrant,author_composition
doc-10.31235/osf.io/evnq7_v3,doi:10.31235/osf.io/evnq7_v3,A Simple Threshold Captures the Social Learning of Conventions,10.31235/osf.io/evnq7_v3,2025,,False,0,0.0,9,douglas-guilbeault; xiaodi-yang; doug-guilbeault,doug-guilbeault; douglas-guilbeault,douglas-guilbeault; xiaodi-yang; doug-guilbeault,Douglas Guilbeault; Xiaodi Yang; Doug Guilbeault,Affiliate Faculty; Masters Student; Affiliate Faculty,10,2,3,"Advanced biosensing and bioanalysis techniques; Categorization, perception, and language; Color perception and design; Conducting polymers and applications; Electrochemical Analysis and Applications; Electrochemical sensors and biosensors; Language, Metaphor, and Cognition; Misinformation and Its Impacts; Opinion Dynamics and Social Influence; Organic Electronics and Photovoltaics",7-10 words,0.24,0.5666666666666667,0.565,Hidden Gem,Faculty + Faculty
doc-10.31235/osf.io/evnq7_v2,doi:10.31235/osf.io/evnq7_v2,A Simple Threshold Captures the Social Learning of Conventions,10.31235/osf.io/evnq7_v2,2025,,False,0,0.0,9,douglas-guilbeault; xiaodi-yang; doug-guilbeault,doug-guilbeault; douglas-guilbeault,douglas-guilbeault; xiaodi-yang; doug-guilbeault,Douglas Guilbeault; Xiaodi Yang; Doug Guilbeault,Affiliate Faculty; Masters Student; Affiliate Faculty,10,2,3,"Advanced biosensing and bioanalysis techniques; Categorization, perception, and language; Color perception and design; Conducting polymers and applications; Electrochemical Analysis and Applications; Electrochemical sensors and biosensors; Language, Metaphor, and Cognition; Misinformation and Its Impacts; Opinion Dynamics and Social Influence; Organic Electronics and Photovoltaics",7-10 words,0.24,0.5666666666666667,0.565,Hidden Gem,Faculty + Faculty
doc-10.31234/osf.io/xucka_v2,doi:10.31234/osf.io/xucka_v2,A Simple Threshold Captures the Social Learning of Conventions,10.31234/osf.io/xucka_v2,2025,,False,0,0.0,9,douglas-guilbeault; xiaodi-yang; doug-guilbeault,doug-guilbeault; douglas-guilbeault,douglas-guilbeault; xiaodi-yang; doug-guilbeault,Douglas Guilbeault; Xiaodi Yang; Doug Guilbeault,Affiliate Faculty; Masters Student; Affiliate Faculty,10,2,3,"Advanced biosensing and bioanalysis techniques; Categorization, perception, and language; Color perception and design; Conducting polymers and applications; Electrochemical Analysis and Applications; Electrochemical sensors and biosensors; Language, Metaphor, and Cognition; Misinformation and Its Impacts; Opinion Dynamics and Social Influence; Organic Electronics and Photovoltaics",7-10 words,0.24,0.5666666666666667,0.565,Hidden Gem,Faculty + Faculty
doc-10.1002/advs.202519009,doi:10.1002/advs.202519009,A Wearable System Featuring Biomimetic Spatially Distributed Iontronic Sensing Array for Dynamic Monitoring of Deep Tissue Modulus,10.1002/advs.202519009,2025,Advanced Science,False,0,0.0,17,rui-wang; hongbo-fang; rui-pan,rui-pan,rui-wang; hongbo-fang; rui-pan,Rui Wang; Hongbo Fang; Rui Pan,PhD Student; Postdoctoral Scholar; PhD Student,10,1,3,Advanced Sensor and Energy Harvesting Materials; Electrowetting and Microfluidic Technologies; Heme Oxygenase-1 and Carbon Monoxide; Innovative Microfluidic and Catalytic Techniques Innovation; Ion channel regulation and function; Microfluidic and Bio-sensing Technologies; Microfluidic and Capillary Electrophoresis Applications; Neuroscience of respiration and sleep; Nitric Oxide and Endothelin Effects; Sulfur Compounds in Biology,15-19 words,0.72,0.7333333333333333,0.615,Aligned Surprise,Other KLab author config
doc-10.1007/s10483-025-3295-6,doi:10.1007/s10483-025-3295-6,A new maximum-a-posteriori-based gappy method for physical field reconstruction using proper orthogonal decomposition and autoencoder,10.1007/s10483-025-3295-6,2025,Applied Mathematics and Mechanics,False,0,0.0,16,chenhao-tan; xiaodi-yang,chenhao-tan,chenhao-tan; xiaodi-yang,Chenhao Tan; Xiaodi Yang,Affiliate Faculty; Masters Student,10,1,2,Advanced biosensing and bioanalysis techniques; Complex Network Analysis Techniques; Conducting polymers and applications; Electrochemical Analysis and Applications; Electrochemical sensors and biosensors; Explainable Artificial Intelligence (XAI); Natural Language Processing Techniques; Opinion Dynamics and Social Influence; Organic Electronics and Photovoltaics; Topic Modeling,15-19 words,0.6839999999999999,0.5333333333333333,0.495,Aligned Surprise,Solo faculty
doc-10.1016/j.icheatmasstransfer.2025.109869,doi:10.1016/j.icheatmasstransfer.2025.109869,A new method for simultaneous identification of thermal-mechanical loading and thermophysical properties in dynamic coupled thermoelasticity problems based on Levenberg-Marquardt method,10.1016/j.icheatmasstransfer.2025.109869,2025,International Communications in Heat and Mass Transfer,False,2,1.0986122886681098,21,chenhao-tan; xiaodi-yang,chenhao-tan,chenhao-tan; xiaodi-yang,Chenhao Tan; Xiaodi Yang,Affiliate Faculty; Masters Student,10,1,2,Advanced biosensing and bioanalysis techniques; Complex Network Analysis Techniques; Conducting polymers and applications; Electrochemical Analysis and Applications; Electrochemical sensors and biosensors; Explainable Artificial Intelligence (XAI); Natural Language Processing Techniques; Opinion Dynamics and Social Influence; Organic Electronics and Photovoltaics; Topic Modeling,>= 20 words,0.864,0.5333333333333333,0.495,Aligned Surprise,Solo faculty
doc-10.1145/3712285.3759874,doi:10.1145/3712285.3759874,Addressing Reproducibility Challenges in HPC with Continuous Integration,10.1145/3712285.3759874,2025,,False,1,0.6931471805599453,8,ian-foster,ian-foster,ian-foster,Ian Foster,Affiliate Faculty,5,1,1,Advanced Data Storage Technologies; Cloud Computing and Resource Management; Distributed and Parallel Computing Systems; Parallel Computing and Optimization Techniques; Scientific Computing and Data Management,7-10 words,0.18,0.2833333333333333,0.2825,Routine,Solo faculty
doc-10.1093/pnasnexus/pgaf027,doi:10.1093/pnasnexus/pgaf027,Addressing discretization-induced bias in demographic prediction,10.1093/pnasnexus/pgaf027,2025,PNAS Nexus,False,1,0.6931471805599453,6,aaron-schein; rui-wang,aaron-schein,aaron-schein; rui-wang,Aaron Schein; Rui Wang,Affiliate Faculty; PhD Student,10,1,2,Bayesian Methods and Mixture Models; Heme Oxygenase-1 and Carbon Monoxide; Ion channel regulation and function; Natural Language Processing Techniques; Neuroscience of respiration and sleep; Nitric Oxide and Endothelin Effects; Statistical Methods and Bayesian Inference; Sulfur Compounds in Biology; Tensor decomposition and applications; Topic Modeling,<= 6 words,0.06,0.7333333333333333,0.615,Hidden Gem,Mixed (faculty + PhD)
doc-10.1126/science.aec7650,doi:10.1126/science.aec7650,After science,10.1126/science.aec7650,2025,Science,False,0,0.0,2,james-evans; eamon-duede,eamon-duede; james-evans,james-evans; eamon-duede,James Evans; Eamon Duede,Director; Affiliate Faculty,9,2,2,Biomedical Text Mining and Ontologies; Complex Network Analysis Techniques; Data Quality and Management; Explainable Artificial Intelligence (XAI); Philosophy and History of Science; Scientific Computing and Data Management; Scientometrics and Bibliometrics Research; Topic Modeling; scientometrics and bibliometrics research,<= 6 words,0.0,0.7291666666666667,0.6625,Hidden Gem,Faculty + Faculty
doc-10.1038/s41586-025-09581-z,doi:10.1038/s41586-025-09581-z,Age and gender distortion in online media and large language models,10.1038/s41586-025-09581-z,2025,Nature,False,4,1.6094379124341003,11,douglas-guilbeault; bhargav-desikan,bhargav-desikan,douglas-guilbeault; bhargav-desikan,Douglas Guilbeault; Bhargav Desikan,Affiliate Faculty; Affiliate Researcher,7,1,2,"Categorization, perception, and language; Color perception and design; Data Stream Mining Techniques; Language, Metaphor, and Cognition; Machine Learning in Materials Science; Misinformation and Its Impacts; Opinion Dynamics and Social Influence",11-14 words,0.384,0.6208333333333333,0.5475,Hidden Gem,Solo faculty
doc-10.48550/arxiv.2504.10861,doi:10.48550/arxiv.2504.10861,Ai2 Scholar QA: Organized Literature Synthesis with Attribution,10.48550/arxiv.2504.10861,2025,arXiv (Cornell University),False,0,0.0,8,doug-downey,doug-downey,doug-downey,Doug Downey,Affiliate Faculty,5,1,1,Advanced Text Analysis Techniques; Biomedical Text Mining and Ontologies; Multimodal Machine Learning Applications; Natural Language Processing Techniques; Topic Modeling,7-10 words,0.244,0.2833333333333333,0.2825,Routine,Solo faculty
doc-10.1609/aies.v8i3.36720,doi:10.1609/aies.v8i3.36720,Aligning AI with Public Values: Deliberation and Decision-Making for Governing Multimodal LLMs in Political Video Analysis,10.1609/aies.v8i3.36720,2025,Proceedings of the AAAI/ACM Conference on AI Ethics and Society,False,0,0.0,16,yujin-potter; muhua-huang,yujin-potter,yujin-potter; muhua-huang,Yujin Potter; Muhua Huang,Postdoctoral Scholar; Masters Student,10,1,2,"Advanced Neuroimaging Techniques and Applications; Blockchain Technology Applications and Security; Discourse Analysis in Language Studies; Ethics and Social Impacts of AI; FinTech, Crowdfunding, Digital Finance; Functional Brain Connectivity Studies; Multiple Sclerosis Research Studies; Neural dynamics and brain function; Photoreceptor and optogenetics research; Sharing Economy and Platforms",15-19 words,0.7479999999999999,0.5333333333333333,0.495,Aligned Surprise,No KLab core author
doc-10.17632/k3xcndsswk.2,doi:10.17632/k3xcndsswk.2,"Animals, Food, and Technology (AFT) Survey 2017–2021",10.17632/k3xcndsswk.2,2025,Mendeley Data,False,0,0.0,8,jacy-anthis,jacy-anthis,jacy-anthis,Jacy Anthis,PhD Student,5,1,1,Animal Behavior and Welfare Studies; Death Anxiety and Social Exclusion; Ethics and Social Impacts of AI; Psychology of Moral and Emotional Judgment; Social and Intergroup Psychology,7-10 words,0.23066666666666666,0.2833333333333333,0.2825,Routine,Solo PhD student
doc-10.1287/isre.2024.0970,doi:10.1287/isre.2024.0970,"Artificial Intelligence, CEO Turnover, and Exploration Orientation in Firm Innovation",10.1287/isre.2024.0970,2025,Information Systems Research,False,0,0.0,10,bowen-lou; lingfei-wu,bowen-lou,bowen-lou; lingfei-wu,Bowen Lou; Lingfei Wu,Affiliate Faculty; Affiliate Faculty,9,1,2,Big Data and Business Intelligence; Complex Network Analysis Techniques; Digital Platforms and Economics; Employer Branding and e-HRM; Geological and Geochemical Analysis; Innovation and Knowledge Management; Opinion Dynamics and Social Influence; Private Equity and Venture Capital; earthquake and tectonic studies,7-10 words,0.3506666666666667,0.43333333333333335,0.3725,Routine,Faculty + Faculty
doc-10.2139/ssrn.5406802,doi:10.2139/ssrn.5406802,"Artificial Intelligence, CEO Turnover, and Exploration Orientation in Firm Innovation",10.2139/ssrn.5406802,2025,SSRN Electronic Journal,False,0,0.0,10,bowen-lou; lingfei-wu,bowen-lou,bowen-lou; lingfei-wu,Bowen Lou; Lingfei Wu,Affiliate Faculty; Affiliate Faculty,9,1,2,Big Data and Business Intelligence; Complex Network Analysis Techniques; Digital Platforms and Economics; Employer Branding and e-HRM; Geological and Geochemical Analysis; Innovation and Knowledge Management; Opinion Dynamics and Social Influence; Private Equity and Venture Capital; earthquake and tectonic studies,7-10 words,0.3506666666666667,0.43333333333333335,0.3725,Routine,Faculty + Faculty
doc-10.1038/s41598-025-85177-x,doi:10.1038/s41598-025-85177-x,Association between the depressive symptom trajectories and all-cause mortality in Chinese middle-aged and elderly adults,10.1038/s41598-025-85177-x,2025,Scientific Reports,False,1,0.6931471805599453,15,chen-lin,chen-lin,chen-lin,Chen Lin,PhD Student,5,1,1,Atomic and Molecular Physics; Cavitation Phenomena in Pumps; Fluid Dynamics Simulations and Interactions; Hydraulic and Pneumatic Systems; Personality Disorders and Psychopathology,15-19 words,0.624,0.2833333333333333,0.2825,False Positive,Solo PhD student
doc-https://doi.org/10.1038/s41598-025-85177-x,doi:https://doi.org/10.1038/s41598-025-85177-x,Association between the depressive symptom trajectories and all-cause mortality in Chinese middle-aged and elderly adults,https://doi.org/10.1038/s41598-025-85177-x,2025,Scientific Reports,False,1,0.6931471805599453,15,chen-lin,chen-lin,chen-lin,Chen Lin,PhD Student,5,1,1,Atomic and Molecular Physics; Cavitation Phenomena in Pumps; Fluid Dynamics Simulations and Interactions; Hydraulic and Pneumatic Systems; Personality Disorders and Psychopathology,15-19 words,0.624,0.2833333333333333,0.2825,False Positive,Solo PhD student
doc-10.1038/s41586-025-09780-8,doi:10.1038/s41586-025-09780-8,Author Correction: Unravelling cysteine-deficiency-associated rapid weight loss,10.1038/s41586-025-09780-8,2025,Nature,False,0,0.0,8,rui-wang,rui-wang,rui-wang,Rui Wang,PhD Student,5,1,1,Heme Oxygenase-1 and Carbon Monoxide; Ion channel regulation and function; Neuroscience of respiration and sleep; Nitric Oxide and Endothelin Effects; Sulfur Compounds in Biology,7-10 words,0.244,0.48333333333333334,0.40249999999999997,Routine,Solo PhD student
doc-10.1039/d5sc05641a/v2/response1,doi:10.1039/d5sc05641a/v2/response1,"Author response for ""Controllable Synthesis of Perovskite Solid Solutions as New-Concept Energetic Materials via Thermodynamic Equilibrium""",10.1039/d5sc05641a/v2/response1,2025,,False,0,0.0,16,ningzi-li; chen-lin; zhao-wang,zhao-wang,ningzi-li; chen-lin; zhao-wang,Ningzi Li; Chen Lin; Zhao Wang,Postdoctoral Scholar; PhD Student; Affiliate Faculty,13,1,3,"Advanced Polymer Synthesis and Characterization; Advanced biosensing and bioanalysis techniques; Atomic and Molecular Physics; Cavitation Phenomena in Pumps; Financial Literacy, Pension, Retirement Analysis; Fluid Dynamics Simulations and Interactions; Hydraulic and Pneumatic Systems; Intergenerational Family Dynamics and Caregiving; Microfinance and Financial Inclusion; Personality Disorders and Psychopathology; Polymer Surface Interaction Studies; Silicone and Siloxane Chemistry",15-19 words,0.6599999999999999,0.6708333333333333,0.64,Aligned Surprise,Mixed (faculty + PhD)
doc-10.48550/arxiv.2505.12452,doi:10.48550/arxiv.2505.12452,Automatically Advancing LLM Expertise in Technology Judgment,10.48550/arxiv.2505.12452,2025,arXiv (Cornell University),False,0,0.0,7,lingfei-wu; honglin-bao; nadav-kunievsky; james-evans,honglin-bao,lingfei-wu; honglin-bao; nadav-kunievsky; james-evans,Lingfei Wu; Honglin Bao; Nadav Kunievsky; James Evans,Affiliate Faculty; PhD Student; Postdoctoral Scholar; Director,17,1,4,"Artificial Intelligence in Healthcare and Education; Big Data and Business Intelligence; Biomedical Text Mining and Ontologies; Complex Network Analysis Techniques; Economic Growth and Development; Energy, Environment, Economic Growth; Evolutionary Game Theory and Cooperation; Geological and Geochemical Analysis; Health disparities and outcomes; Intellectual Property and Patents; Opinion Dynamics and Social Influence; School Choice and Performance",7-10 words,0.12,0.7333333333333333,0.74,Hidden Gem,Mixed (faculty + PhD)
doc-10.1021/jacs.5c12241,doi:10.1021/jacs.5c12241,Autonomous Synthesis and Inverse Design of Electrochromic Polymers with High Efficiency and Accuracy,10.1021/jacs.5c12241,2025,Journal of the American Chemical Society,False,0,0.0,13,lingfei-wu; ian-foster,ian-foster,lingfei-wu; ian-foster,Lingfei Wu; Ian Foster,Affiliate Faculty; Affiliate Faculty,10,1,2,Advanced Data Storage Technologies; Big Data and Business Intelligence; Cloud Computing and Resource Management; Complex Network Analysis Techniques; Distributed and Parallel Computing Systems; Geological and Geochemical Analysis; Opinion Dynamics and Social Influence; Parallel Computing and Optimization Techniques; Scientific Computing and Data Management; earthquake and tectonic studies,11-14 words,0.504,0.4708333333333333,0.39499999999999996,False Positive,Faculty + Faculty
doc-10.26434/chemrxiv-2025-dzh5z,doi:10.26434/chemrxiv-2025-dzh5z,Bayesian Optimization Hackathon for Chemistry and Materials,10.26434/chemrxiv-2025-dzh5z,2025,,False,1,0.6931471805599453,7,ben-blaiszik,ben-blaiszik,ben-blaiszik,Ben Blaiszik,Affiliate Faculty,5,1,1,Computational Drug Discovery Methods; Distributed and Parallel Computing Systems; Machine Learning in Materials Science; Polymer composites and self-healing; Scientific Computing and Data Management,7-10 words,0.144,0.2833333333333333,0.2825,Routine,Solo faculty
doc-10.31235/osf.io/w4tzb_v1,doi:10.31235/osf.io/w4tzb_v1,Bipartisan-Cited Science,10.31235/osf.io/w4tzb_v1,2025,,False,0,0.0,2,dashun-wang,dashun-wang,dashun-wang,Dashun Wang,Affiliate Faculty,5,1,1,Complex Network Analysis Techniques; Opinion Dynamics and Social Influence; Research Data Management Practices; Scientific Computing and Data Management; scientometrics and bibliometrics research,<= 6 words,0.0,0.2833333333333333,0.2825,Routine,Solo faculty
doc-10.48550/arxiv.2505.21748,doi:10.48550/arxiv.2505.21748,Broad Spectrum Structure Discovery in Large-Scale Higher-Order Networks,10.48550/arxiv.2505.21748,2025,arXiv (Cornell University),False,0,0.0,8,aaron-schein,aaron-schein,aaron-schein,Aaron Schein,Affiliate Faculty,5,1,1,Bayesian Methods and Mixture Models; Natural Language Processing Techniques; Statistical Methods and Bayesian Inference; Tensor decomposition and applications; Topic Modeling,7-10 words,0.18,0.2833333333333333,0.2825,Routine,Solo faculty
doc-10.1021/acsami.5c18293,doi:10.1021/acsami.5c18293,Broadband Neuromorphic Phototransistors Based on Oxygen Vacancy Modulation in Indium–Gallium-Zinc Oxide Films,10.1021/acsami.5c18293,2025,ACS Applied Materials & Interfaces,False,0,0.0,13,donghyun-kang,donghyun-kang,donghyun-kang,Donghyun Kang,Postdoctoral Scholar,5,1,1,Advanced Data Storage Technologies; Advanced Neural Network Applications; Caching and Content Delivery; Cloud Computing and Resource Management; Parallel Computing and Optimization Techniques,11-14 words,0.48,0.2833333333333333,0.2825,False Positive,No KLab core author
