Name,Role,Institution,Google_Scholar_ID,Google_Scholar_URL,GS_Citations,OA_Works,OA_Citations,Match_Status,Notes
Rui Pan,PhD Student,Northwestern University,,Not Found - common name,Unknown,224.0,7693.0,Wrong Match,"Institution mismatch: listed as 'Northwestern University', OpenAlex shows ['Chinese Academy of Sciences', 'Changshu Institute of Technology', 'University of Minnesota']"
Yujin Potter,Postdoctoral Scholar,UC Berkeley,ZDG9RD8AAAAJ,https://scholar.google.com/citations?user=ZDG9RD8AAAAJ,1363,,,GS Found - Needs Verification,GS: 1363 citations
Iyad Rahwan,Affiliate Faculty,MPG-Berlin,yKCX2IUAAAAJ,https://scholar.google.com/citations?user=yKCX2IUAAAAJ,High,,,GS Found - Needs Verification,GS: High citations
Nakwon Rim,PhD Student,University of Chicago,,,,,,No Match Found,Early career or common name
Alejandro Sarria-Morales,Masters Student,University of Chicago,,Not Found,Unknown,,,No Match Found,Early career or common name
Bill Shi,Affiliate Researcher,Pond,,,,21.0,163.0,Verified (OpenAlex),"OA: 21 works, 163 citations"
Wenxuan  Shi,PhD Student,Wuhan University,,,,41.0,430.0,Verified (OpenAlex),"OA: 41 works, 430 citations"
Haohan Shi,Alumni,Northwestern University,-MZ5LSEAAAAJ,https://scholar.google.com/citations?user=-MZ5LSEAAAAJ,6,,,GS Found - Needs Verification,GS: 6 citations
Jamshid Sourati,Affiliate Faculty,Depaul University,JeVyxh4AAAAJ,https://scholar.google.com/citations?user=JeVyxh4AAAAJ,515,24.0,304.0,Verified (OpenAlex),"OA: 24 works, 304 citations"
Chenhao Tan,Affiliate Faculty,University of Chicago,KGMaP18AAAAJ,https://scholar.google.com/citations?user=KGMaP18AAAAJ,10406,,,GS Found - Needs Verification,GS: 10406 citations
Misha Teplitskiy,Affiliate Faculty,University of Michigan,DzSXZd9yYy8C,https://scholar.google.com/citations?user=DzSXZd9yYy8C,1136,,,GS Found - Needs Verification,GS: 1136 citations
Di Tong,PhD Student,MIT,,,,42.0,415.0,Verified (OpenAlex),"OA: 42 works, 415 citations"
Nicolás Torres-Echeverry,PhD Student,University of Chicago,,,,1.0,2.0,Verified (OpenAlex),"OA: 1 works, 2 citations"
Lav Varshney,Affiliate Faculty,University of Illinois,JIJGu30AAAAJ,https://scholar.google.com/citations?user=JIJGu30AAAAJ,High,1.0,,GS Found / OA Mismatch,"Institution mismatch: listed as 'University of Illinois', OpenAlex shows []"
Dashun Wang,Affiliate Faculty,Northwestern University,uQJAkBoAAAAJ,https://scholar.google.com/citations?user=uQJAkBoAAAAJ,13302,,,GS Found - Needs Verification,GS: 13302 citations
Zhao Wang,Affiliate Faculty,University of Chicago,iqF0jskAAAAJ,https://scholar.google.com/citations?user=iqF0jskAAAAJ,325,273.0,7261.0,Verified (OpenAlex),"OA: 273 works, 7261 citations"
Dan Weld,Affiliate Faculty,Allen Institute,IUZgJogAAAAJ,https://scholar.google.com/citations?user=IUZgJogAAAAJ,60598,,,GS Found - Needs Verification,GS: 60598 citations
David Wolpert,Affiliate Faculty,Santa Fe Institute,PRjgI8kAAAAJ,https://scholar.google.com/citations?user=PRjgI8kAAAAJ,47000,,,GS Found - Needs Verification,GS: 47000 citations
Renli Wu,PhD Student,Wuhan University,,,,,,No Match Found,Early career or common name
Lingfei Wu,Affiliate Faculty,University of Pittsburgh,NoDUFVUAAAAJ,https://scholar.google.com/citations?user=NoDUFVUAAAAJ,3190,71.0,3190.0,Verified (OpenAlex),"OA: 71 works, 3190 citations"
Xiaodi Yang,Masters Student,University of Chicago,,Not Found,Unknown,150.0,5176.0,Wrong Match,"Institution mismatch: listed as 'University of Chicago', OpenAlex shows ['Nanjing University', 'Institute of Soil Science', 'Nanjing Xiaozhuang University']"
Haizi Yu,Affiliate Researcher,University of Chicago,,,,,,No Match Found,Early career or common name
Yuanyi Zhen,PhD Student,Tsinghua University,tQm_0ZAAAAAJ,https://scholar.google.com/citations?user=tQm_0ZAAAAAJ,367,,,GS Found - Needs Verification,GS: 367 citations
Jeffrey Lockhart,Postdoctoral Scholar,University of Chicago,ptcuwrcAAAAJ,https://scholar.google.com/citations?user=ptcuwrcAAAAJ,Moderate,,,GS Found - Needs Verification,GS: Moderate citations
Aaron Schein,Affiliate Faculty,University of Chicago,CaHuRsgAAAAJ,https://scholar.google.com/citations?user=CaHuRsgAAAAJ,634,,,GS Found - Needs Verification,GS: 634 citations
Rui Wang,PhD Student,GW School of Business,,Not Found - common name,Unknown,2091.0,69907.0,Wrong Match,"Suspicious citation count (69,907) for PhD Student"
Fengli Xu,Affiliate Faculty,Tsinghua University,UJrlw1cAAAAJ,https://scholar.google.com/citations?user=UJrlw1cAAAAJ,4147,,,GS Found - Needs Verification,GS: 4147 citations
Pete Aceves,Affiliate Faculty,Johns Hopkins University,Gp8RrvMAAAAJ,https://scholar.google.com/citations?user=Gp8RrvMAAAAJ,15,3.0,15.0,GS Found / OA Mismatch,"Institution mismatch: listed as 'Johns Hopkins University', OpenAlex shows ['University of Chicago']"
Christopher Wolfram,PhD Student,University of Chicago,0j-LaCUAAAAJ,https://scholar.google.com/citations?user=0j-LaCUAAAAJ,107,6.0,141.0,GS Found / OA Mismatch,"Institution mismatch: listed as 'University of Chicago', OpenAlex shows ['German Centre for Cardiovascular Research', 'Deutsches Herzzentrum der Charité', 'University of Maryland, College Park']"
